index,host,source,sourcetype,"_raw","_time"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.245280-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1335 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1213 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Production relation=Work OrderXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.251088-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1336 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1270 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=Sales OrderHeaderXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.268607-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1339 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1198 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=vStore WithDemographicsXXX  mode=write user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.286348-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1342 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1272 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Production relation=vProduct ModelCatalogDescriptiXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.292194-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1343 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1274 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=HumanResources relation=vEmployee DepartmentHistoryXXX  mode=write user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.303910-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1345 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1277 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=vStore WithDemographicsXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.309714-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1346 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1282 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Person relation=BusinessEntityContactXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.315554-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1347 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1262 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Purchasing relation=Purchase OrderHeaderXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.321376-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1348 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1240 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=Sales relation=Person CreditCardXXX  mode=write user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
main,ubuntu,"dbfw.txt","dbn:dbn6300:insiderThreatEvents","<133>2017-04-17T15:45:16.338869-05:00 dbfw dbn: CEF:0|DB Networks|DBN|2.2.13|18|it_threat_event|5|system_identifier=FW42-QA-0006 cs1Label=system identifier cs1=FW42-QA-0006 eventId=1351 tix_id=539 tix_annotation=New general rule 1492461663457 spec_id=541 spec_type=general spec_annotation=Test Alert - Everything cat_id=222 category_name=sys.syslog flow_id=1261 start=1449230100000 end=1449230100000 rt=1449230100000 server= database= schema=HumanResources relation=Employee PayHistoryXXX  mode=read user_id=294 user_name=sa service_name=lkwdiv dialect=Sql Server clientIP=10.15.34.7 serverIP=10.4.40.15 listener_port=1433","2015-12-04T03:55:00.000-0800"
